Symbol,ATR%,BB_Width%,Inside_Bar_%,RSI_Slope,Price_Slope,Volume_Confirm,RSI_Reversal,Avg_Forward_3d,Avg_Forward_5d,Avg_Forward_10d,Behavior
KSOLVES.NS,0.044431503757884405,0.2756461570159152,0.17073170731707318,-0.19408920589176595,-0.017052359286852913,False,True,-0.007638764284602241,-0.013689563630020767,-0.02988136642039957,Choppy
TIPSMUSIC.NS,0.04533414105501023,0.1648345779527348,0.12195121951219512,0.15511169551411086,0.0003519757311852447,True,False,-0.006131255402690524,-0.010554285867453895,-0.020610812284856086,Choppy
WAAREERTL.NS,0.04596923495412092,0.20969781802384313,0.08823529411764706,0.48078803817038296,-0.001357056151989112,True,True,0.017804701940864264,0.01732293251571537,0.005698020456566162,Reversal
ANANDRATHI.NS,0.03677937146501759,0.15795953660660633,0.16260162601626016,0.28080313258914247,0.003397978687869133,True,True,-0.0018981442779183436,-0.003367019211464701,-0.01002241201638925,Reversal
ARROWGREEN.NS,0.04297178570188378,0.27061653148539766,0.12195121951219512,0.3136850427944068,-0.002165413162101523,True,True,-0.0067157972521155315,-0.010913565217942772,-0.022601521414996235,Reversal
ALPEXSOLAR.NS,0.05271507502035679,0.2905291565997798,0.09836065573770492,0.060775520440186706,0.00557385578842867,True,True,0.004948568643430913,0.00715856823191046,0.011097844338938111,Reversal
PRUDENT.NS,0.05460549861808614,0.31470836319057227,0.13008130081300814,0.5373643118061437,0.005304893039691105,True,True,0.0013422568074686531,0.001857126263085746,-0.0007271551768894009,Uptrend
GANESHHOUC.NS,0.05356758758703013,0.22561116971901843,0.13821138211382114,-0.01441187817537234,-0.004515253405435586,False,False,-0.004326508565867191,-0.007642962484947921,-0.016752959227194126,Choppy
SHARDAMOTR.NS,0.04649266552187037,0.203793872276773,0.17886178861788618,0.3304531421120597,0.006675181088485496,False,False,-0.0006281099650847703,-0.0008224727906391311,-0.002615198256060558,Choppy
WEALTH.NS,0.051463747132480704,0.2399820242720333,0.08943089430894309,-0.1024333562773991,-0.004464608541706367,False,False,-0.01172695991534977,-0.020113663083808807,-0.04688639488695627,Choppy
JAIBALAJI.NS,0.05039271209705007,0.2362635312648284,0.2032520325203252,-0.1683261758549371,-0.008973136831625891,False,False,-0.012908911910545658,-0.022994017021995106,-0.04789531699213315,Choppy
